,State abb,Emotional & Physical Well Being Rank,Income & Employment Rank,Community & Environment Rank
0,TX,7,6,8
1,CA,14,11,5
2,WI,3,14,7
3,CA,10,37,1
4,CA,6,46,28
5,ND,17,20,24
6,TX,20,35,6
7,CA,1,18,44
8,AZ,46,13,2
9,CA,4,2,125
10,ND,25,4,45
11,KS,22,56,26
12,CA,23,53,9
13,TX,15,8,80
14,SD,11,67,95
15,HI,2,147,15
16,CA,27,102,12
17,CA,8,36,46
18,MN,18,70,66
19,SC,74,5,4
20,AZ,54,48,10
21,CA,29,79,34
22,NC,13,41,87
23,FL,51,87,3
24,IA,41,58,20
25,MN,5,26,137
26,CA,19,117,25
27,FL,47,89,14
28,HI,55,34,17
29,IA,39,85,37
30,TX,28,17,119
31,CA,24,112,77
32,AZ,62,55,16
33,CA,16,156,29
34,NE,56,80,19
35,NE,32,86,62
36,CA,12,75,131
37,MT,61,33,51
38,AZ,66,54,21
39,CA,37,107,67
40,CO,21,64,116
41,TX,44,90,54
42,VT,53,10,120
43,AZ,65,77,23
44,FL,76,73,13
45,ID,68,19,48
46,TX,31,120,103
47,CO,26,121,104
48,TX,58,98,39
49,TX,40,128,59
50,DC,9,40,167
51,NC,52,92,57
52,FL,59,60,92
53,WA,36,1,171
54,IL,38,164,56
55,MT,57,52,91
56,CA,50,103,73
57,MA,34,12,152
58,CO,72,69,36
59,NC,30,28,113
60,ME,48,49,149
61,MI,83,31,49
62,CA,79,32,68
63,UT,80,9,82
64,NY,45,157,79
65,NM,33,123,69
66,SD,86,30,64
67,TX,35,109,123
68,VT,90,63,31
69,VA,73,105,43
70,CA,42,138,108
71,AK,84,82,41
72,WY,78,23,127
73,MD,49,101,138
74,AZ,77,116,47
75,VA,94,122,27
76,NV,98,50,52
77,FL,91,42,85
78,GA,64,88,100
79,CA,71,151,30
80,ID,102,137,11
81,CA,43,104,146
82,FL,85,24,107
83,OR,92,27,102
84,OR,101,29,90
85,TX,95,68,88
86,PA,112,21,60
87,CA,100,22,105
88,CA,106,72,50
89,NY,70,152,74
90,NH,82,100,96
91,AL,130,47,22
92,NJ,93,168,33
93,UT,103,78,81
94,NH,96,113,63
95,CA,107,84,70
96,TX,115,57,55
97,TX,119,45,78
98,WA,108,97,61
99,FL,121,38,58
100,FL,63,39,179
101,DE,81,61,145
102,CA,111,108,65
103,AZ,89,159,86
104,TN,126,96,35
105,TX,69,132,139
106,IL,60,175,114
107,SC,137,7,83
108,NC,97,94,98
109,ME,151,43,84
110,TX,75,66,173
111,FL,67,160,169
112,KY,113,76,112
113,NV,120,125,53
114,CA,114,59,118
115,CA,117,81,121
116,VA,105,155,128
117,AZ,99,114,134
118,MO,132,106,71
119,FL,135,25,133
120,VA,104,139,157
121,WA,109,140,153
122,RI,136,44,151
123,TX,133,16,142
124,WY,161,71,97
125,MO,110,148,129
126,AZ,87,136,172
127,OK,155,110,38
128,TX,145,15,124
129,NC,116,118,141
130,AK,160,3,175
131,NM,123,111,150
132,OH,128,133,111
133,CA,139,74,126
134,CT,88,169,161
135,FL,153,95,72
136,TN,166,62,32
137,KY,158,124,42
138,VA,129,129,143
139,TN,167,99,40
140,KS,138,131,130
141,MA,125,149,159
142,NY,134,142,140
143,CA,124,134,166
144,NY,144,126,117
145,CA,127,119,158
146,WI,122,172,147
147,LA,140,93,168
148,CA,118,150,165
149,WA,142,91,176
150,IN,147,177,89
151,IN,152,143,132
152,LA,164,127,76
153,NV,157,158,99
154,NV,149,146,144
155,OK,170,83,110
156,DE,156,144,154
157,RI,169,115,122
158,CT,131,141,182
159,AL,143,176,155
160,MD,148,161,177
161,MS,150,178,178
162,LA,171,173,75
163,TN,146,179,156
164,PA,168,165,115
165,GA,174,154,109
166,NC,159,153,170
167,OH,154,166,174
168,OH,165,145,162
169,AR,176,135,136
170,MO,162,170,160
171,GA,175,163,106
172,AL,172,174,135
173,NJ,141,182,180
174,WV,182,51,18
175,AR,178,130,101
176,MS,179,162,94
177,OH,163,180,164
178,AL,173,167,163
179,WV,180,65,93
180,OH,177,171,148
181,MI,181,181,181
